,제목,URL,내용,사이트,채널,날짜1,날짜2,input,after preprocessing
10,환자복 입고 농기계 대리점서 절도 - 광주일보,http://www.kwangju.co.kr/article.php?aid=1328540400459757089,"○…해남경찰은 6일 농기계 대리점에 침입, 7만 6000원을 훔친 혐의(절도)로 임모(48)씨를 구속. ○…지난 2일 새벽 해남읍 모 농기계 대리점 유리창을 깨고 들어가 소형 금고에서 돈을 훔친 혐의를 받고 있는 임씨는 교통사고로 병원에 입원 치료 중 환자복을 입고 범행을 저지르다 도난경보시스템 작동으로 출동한 용역경비업체와 경찰의 공조로 검거. ○…...",naver,web,2011-01-01,2012-12-31,"환자복 입고 농기계 대리점서 절도 - 광주일보 ○…해남경찰은 6일 농기계 대리점에 침입, 7만 6000원을 훔친 혐의(절도)로 임모(48)씨를 구속. ○…지난 2일 새벽 해남읍 모 농기계 대리점 유리창을 깨고 들어가 소형 금고에서 돈을 훔친 혐의를 받고 있는 임씨는 교통사고로 병원에 입원 치료 중 환자복을 입고 범행을 저지르다 도난경보시스템 작동으로 출동한 용역경비업체와 경찰의 공조로 검거. ○…...","['환자복', '농기계', '대리점', '절도', '광주일보', '해남', '경찰', '농기계', '대리점', '침입', '혐의', '절도', '임모', '구속', '새벽', '농기계', '대리점', '유리창', '소형', '금고', '혐의', '교통사고', '병원', '입원', '치료', '환자복', '범행', '도난', '경보', '시스템', '작동', '출동', '용역', '경비', '업체', '경찰', '공조', '검거']"
11,"[대물림하는 폭력, 탈출구가 없다] ""머리 치며 욕설… 쉬는 날 수간호사 아....",https://www.segye.com/newsView/20120221004726,2012년 2월 ○○일 날씨 흐림. 오늘 오전에도 태움(간호사들 용어로 ‘갈굼’)을 당했다. 린넨실(환자복 보관 창고)에 또 불려갔다. 선배 3명이 떡 버티고 있었다. “목소리가 작아 대답이 안 들린다”고 꾸중을 들었다. 어제는 목소리가 커서 시끄럽다고 혼났는데. 10...,naver,web,2011-01-01,2012-12-31,"[대물림하는 폭력, 탈출구가 없다] ""머리 치며 욕설… 쉬는 날 수간호사 아.... 2012년 2월 ○○일 날씨 흐림. 오늘 오전에도 태움(간호사들 용어로 ‘갈굼’)을 당했다. 린넨실(환자복 보관 창고)에 또 불려갔다. 선배 3명이 떡 버티고 있었다. “목소리가 작아 대답이 안 들린다”고 꾸중을 들었다. 어제는 목소리가 커서 시끄럽다고 혼났는데. 10...","['대물림', '폭력', '탈출구', '머리', '욕설', '수간호사', '날씨', '오늘', '오전', '간호사', '용어', '환자복', '보관', '창고', '선배', '목소리', '대답', '꾸중', '목소리']"
12,"[여의사 4인의 사색의론(四色醫論)] 잘못된 의학지식, 비극의 시작 : 부산의....",http://www.kookje.co.kr/news2011/asp/newsbody.asp?key=20120612.22026185909,"27세, 하얀 피부, 긴 생머리의 예쁘고 얌전한 그녀…, 너무나 선하고 밝은 미소…. 병실에서 환자복을 입은 그녀의 첫 인상이었다. 그녀는 만성 신부전으로 신장투",naver,web,2011-01-01,2012-12-31,"[여의사 4인의 사색의론(四色醫論)] 잘못된 의학지식, 비극의 시작 : 부산의.... 27세, 하얀 피부, 긴 생머리의 예쁘고 얌전한 그녀…, 너무나 선하고 밝은 미소…. 병실에서 환자복을 입은 그녀의 첫 인상이었다. 그녀는 만성 신부전으로 신장투","['여의사', '사색', '의학', '지식', '비극', '시작', '부산', '피부', '생머리', '미소', '병실', '환자복', '인상', '만성', '신부전', '신장']"
13,내안의 섬 - 다음 블로그,https://blog.daum.net/hmnam324/14,"6월 7일 목요일,아침 9시에 수술하기로 예정돼 있었기에 8시경 마님이 병원으로 왔다.수술동의서에 사인후 등이 끈으로 묶게된 타입의 수술용 환자복으로 갈아입었다.항상 내가 보호자로 사인을 했었는데 오늘만큼..",naver,web,2011-01-01,2012-12-31,"내안의 섬 - 다음 블로그 6월 7일 목요일,아침 9시에 수술하기로 예정돼 있었기에 8시경 마님이 병원으로 왔다.수술동의서에 사인후 등이 끈으로 묶게된 타입의 수술용 환자복으로 갈아입었다.항상 내가 보호자로 사인을 했었는데 오늘만큼..","['내안', '블로그', '목요일', '수술', '예정', '마님', '병원', '수술', '동의서', '인후', '타입', '수술', '환자복', '보호자', '사인', '오늘']"
14,"NS윤지 얼굴 분장, 청순 미모에 환자복-상처 “대체 무슨일?” - 뉴스인사이....",http://www.newsinside.kr/news/articleView.html?idxno=158051,"ⓒ NS윤지 트위터 [SSTV l 노상준 인턴기자] 가수 NS윤지가 얼굴 분장 사진을 공개했다.NS윤지는 26일 자신의 트위터에 “아야, 호해 주세요! 완전 진짜 같죠?? 걱정 마요! 분장이니까”란 글과 함께 한 장의 사진을 덧붙였다.공개된 사진에서 NS윤지는 환자복을 입고 얼굴에 상처를 단",naver,web,2011-01-01,2012-12-31,"NS윤지 얼굴 분장, 청순 미모에 환자복-상처 “대체 무슨일?” - 뉴스인사이.... ⓒ NS윤지 트위터 [SSTV l 노상준 인턴기자] 가수 NS윤지가 얼굴 분장 사진을 공개했다.NS윤지는 26일 자신의 트위터에 “아야, 호해 주세요! 완전 진짜 같죠?? 걱정 마요! 분장이니까”란 글과 함께 한 장의 사진을 덧붙였다.공개된 사진에서 NS윤지는 환자복을 입고 얼굴에 상처를 단","['NS', '윤지', '얼굴', '분장', '청순', '미모', '환자복', '상처', '대체', '뉴스', '사이', 'NS', '윤지', '트위터', 'SSTV', '인턴', '가수', 'NS', '윤지', '얼굴', '분장', '사진', '공개', 'NS', '윤지', '자신', '트위터', '걱정', '분장', '사진', '공개', '사진', 'NS', '윤지', '환자복', '얼굴', '상처']"
15,"참세상 기사게시판 기사 비정규직 여성노동자, ‘권리 찾기 선언’ - 17일,....",http://www.newscham.net/news/view.php?board=news&nid=64349,"Home 뉴스 전체기사 비정규직 여성노동자, ‘권리 찾기 선언’ 17일, 제2회 서울여성조합원대회 개최...‘여성노동자의 권리를 말한다’ 윤지연 기자 2011.12.17 19:33 기사공유 | 청소, 급식, 보육, 서비스, 간병노동자 등 비정규직 여성노동자들이 모여 자신들의 권리를 선언하고 나섰다. 민주노총을 비롯한 정당, 시민사회 단체 등은 17일 오후, 이화여대에서 ‘제2회... 참새가입...",naver,web,2011-01-01,2012-12-31,"참세상 기사게시판 기사 비정규직 여성노동자, ‘권리 찾기 선언’ - 17일,.... Home 뉴스 전체기사 비정규직 여성노동자, ‘권리 찾기 선언’ 17일, 제2회 서울여성조합원대회 개최...‘여성노동자의 권리를 말한다’ 윤지연 기자 2011.12.17 19:33 기사공유 | 청소, 급식, 보육, 서비스, 간병노동자 등 비정규직 여성노동자들이 모여 자신들의 권리를 선언하고 나섰다. 민주노총을 비롯한 정당, 시민사회 단체 등은 17일 오후, 이화여대에서 ‘제2회... 참새가입...","['참세상', '기사', '게시판', '기사', '비정규직', '여성', '노동자', '권리', '선언', 'Home', '뉴스', '전체', '기사', '비정규직', '여성', '노동자', '권리', '선언', '여성', '조합원', '개최', '여성', '노동자', '권리', '윤지연', '기사', '공유', '청소', '급식', '보육', '서비스', '간병', '노동자', '비정규직', '여성', '노동자', '자신', '권리', '선언', '민주', '노총', '정당', '시민', '사회', '단체', '오후', '이화여대', '참새', '가입']"
16,"피죤 회장,환자복차림 경찰 출두 : 클리앙",https://www.clien.net/service/board/park/2085140,청부폭행 지시 혐의를 받고 있는 피죤 회장이환자복차림으로 조사받으러 나왔다는 기사. __withANN＊ 하하 그저 웃지요. 사람 팰때만 기운 넘치는듯 from ClienPad...,daum,web,2011-01-01,2012-12-31,"피죤 회장,환자복차림 경찰 출두 : 클리앙 청부폭행 지시 혐의를 받고 있는 피죤 회장이환자복차림으로 조사받으러 나왔다는 기사. __withANN＊ 하하 그저 웃지요. 사람 팰때만 기운 넘치는듯 from ClienPad...","['피죤', '회장', '환자복', '차림', '경찰', '출두', '클리앙', '청부', '폭행', '지시', '혐의', '피죤', '회장', '환자복', '차림', '조사', '기사', 'withANN', '사람', '기운', 'from', 'ClienPad']"
17,"심야병원 유연석, 환자복 속 훈남포스 작렬 - 모닝뉴스",http://www.morningnews.co.kr/article.php?aid=132412174444895028,"MBC 토요단막극 '심야병원'이 최종회를 앞두고 유연석의 환자복 입은 사진을 공개해 시청자들의 궁금증을 유발하고 있다. 현재, 심야병원은 반전에 반전을 거듭하며, 결말에 대한 수많은 추측을 자아내고 있다. 이에 유연석이 환자복을 입은 사연이 무엇인지에 대해 관심이 집중되는 것. 공개된 사진 속 유연석은 환자복을 입고 휠체어에 앉은채 무언가 생각에 잠긴 듯한...",naver,web,2011-01-01,2012-12-31,"심야병원 유연석, 환자복 속 훈남포스 작렬 - 모닝뉴스 MBC 토요단막극 '심야병원'이 최종회를 앞두고 유연석의 환자복 입은 사진을 공개해 시청자들의 궁금증을 유발하고 있다. 현재, 심야병원은 반전에 반전을 거듭하며, 결말에 대한 수많은 추측을 자아내고 있다. 이에 유연석이 환자복을 입은 사연이 무엇인지에 대해 관심이 집중되는 것. 공개된 사진 속 유연석은 환자복을 입고 휠체어에 앉은채 무언가 생각에 잠긴 듯한...","['심야', '병원', '유연석', '환자복', '포스', '작렬', '모닝', '뉴스', 'MBC', '토요', '단막극', '심야', '병원', '최종회', '유연석', '환자복', '사진', '공개', '시청자', '궁금증', '유발', '심야', '병원', '반전', '반전', '결말', '추측', '유연석', '환자복', '사연', '관심', '집중', '공개', '사진', '유연석', '환자복', '휠체어', '생각']"
18,신호준수 - 다음 블로그,https://blog.daum.net/bogorang/15011853,가지 많은 나무 어머니께서 병원침대에 누워 기운 없어 못 일어나신 채 손을 내민다 세찬 비바람 허기진 목마름에도 열매로 말했던 나무가 앙상한 가지를 내민 것처럼 환자복 소매에 드러낸 마른손에 이슬 닮은 눈..,naver,web,2011-01-01,2012-12-31,신호준수 - 다음 블로그 가지 많은 나무 어머니께서 병원침대에 누워 기운 없어 못 일어나신 채 손을 내민다 세찬 비바람 허기진 목마름에도 열매로 말했던 나무가 앙상한 가지를 내민 것처럼 환자복 소매에 드러낸 마른손에 이슬 닮은 눈..,"['신호', '준수', '블로그', '나무', '어머니', '병원', '침대', '비바람', '목마름', '열매', '나무', '가지', '환자복', '소매', '마른손', '이슬']"
19,미래를 보는 창~플렉서블 아몰레드!! | 삼성디스플레이 뉴스룸,https://news.samsungdisplay.com/7499/,"간호사가 검진을 위해 그녀에게 환자복을 건네주면서 체온과 맥박/혈액순환 상태까지 확인 할 수 있는 가운이라고 얘기했다. 그런데 간호사 말처럼 신기하게도 체온과 혈압/맥박이 환자복 왼쪽 가슴위치에 그대로 표현되는 게 아닌가. 말로만 듣던 ‘호스피틀 아몰레드’ 가운을 입게 된 것에 그녀는 먼저 놀랐고, 플렉서블 AMOLED를 탑재해서, 휘거나 구부려도...",naver,web,2011-01-01,2012-12-31,"미래를 보는 창~플렉서블 아몰레드!! | 삼성디스플레이 뉴스룸 간호사가 검진을 위해 그녀에게 환자복을 건네주면서 체온과 맥박/혈액순환 상태까지 확인 할 수 있는 가운이라고 얘기했다. 그런데 간호사 말처럼 신기하게도 체온과 혈압/맥박이 환자복 왼쪽 가슴위치에 그대로 표현되는 게 아닌가. 말로만 듣던 ‘호스피틀 아몰레드’ 가운을 입게 된 것에 그녀는 먼저 놀랐고, 플렉서블 AMOLED를 탑재해서, 휘거나 구부려도...","['미래', '플렉서블', '아몰레드', '삼성', '디스플레이', '뉴스룸', '간호사', '검진', '환자복', '체온', '맥박', '혈액', '순환', '확인', '가운', '얘기', '간호사', '체온', '혈압', '맥박', '환자복', '왼쪽', '가슴', '위치', '표현', '호스', '아몰레드', '가운', '플렉서블', 'AMOLED', '탑재']"
20,runnerking - 다음 블로그,https://blog.daum.net/runnerking/508,강남 연세병원 신경외과에 입원하고보니 뇌 질환으로 머리를 동여 매놓은 병자들로 가득하고 나 또한 환자복에 링게루를 꼽고 병상에 누우니 기운이 푹 쳐진게 중 환자가 틀림없다 낼 아침에는 신경외과에서 뇌..,naver,web,2011-01-01,2012-12-31,runnerking - 다음 블로그 강남 연세병원 신경외과에 입원하고보니 뇌 질환으로 머리를 동여 매놓은 병자들로 가득하고 나 또한 환자복에 링게루를 꼽고 병상에 누우니 기운이 푹 쳐진게 중 환자가 틀림없다 낼 아침에는 신경외과에서 뇌..,"['runnerking', '블로그', '강남', '연세병원', '신경외과', '입원', '질환', '머리', '병자', '환자복', '게루', '병상', '기운', '환자', '신경외과']"
21,"안영미 간디 작살, 4차원 폭주족 유행어로 인기 돌풍 - 뉴스한국",https://www.newshankuk.com/news/content.asp?news_idx=201111021917571269,개그우먼 안영미가 ‘간디 작살’이라는 유행어로 큰 인기를 얻고 있다. 지난 29일 방송된 케이블채널 tvN ‘코미디 빅리그’에서 개그우먼 정주리 김미려와 함께 아메리카노라는 팀으로 출연 중인 안영미는 ‘내겐 너무 벅찬 그녀’ 코너에서 팔에 깁스를 하고 환자복을 입은 채 등장했다. 팔을 다친 4차원 폭주족 ‘김꽃드레’ 안영미를 보고 개그맨 양세형은 “왜...,naver,web,2011-01-01,2012-12-31,"안영미 간디 작살, 4차원 폭주족 유행어로 인기 돌풍 - 뉴스한국 개그우먼 안영미가 ‘간디 작살’이라는 유행어로 큰 인기를 얻고 있다. 지난 29일 방송된 케이블채널 tvN ‘코미디 빅리그’에서 개그우먼 정주리 김미려와 함께 아메리카노라는 팀으로 출연 중인 안영미는 ‘내겐 너무 벅찬 그녀’ 코너에서 팔에 깁스를 하고 환자복을 입은 채 등장했다. 팔을 다친 4차원 폭주족 ‘김꽃드레’ 안영미를 보고 개그맨 양세형은 “왜...","['안영미', '간디', '작살', '차원', '폭주족', '유행어', '인기', '돌풍', '뉴스', '한국', '개그우먼', '안영미', '간디', '작살', '유행어', '인기', '방송', '케이블', '채널', 'tvN', '코미디', '빅리그', '개그우먼', '정주리', '김미려', '아메리카노', '출연', '안영미', '코너', '깁스', '환자복', '등장', '차원', '폭주족', '드레', '안영미', '개그맨', '양세형']"
22,장애인 복지 천국을 가다,http://www.yes24.com/Product/Goods/8013960,"건물 계단에도 장애인 환자의 편의를 배려한 안전바를 설치하지 않았고, 환자들 또한 집에 있을 때처럼환자복대신 평상복을 입고 생활한다. 지역 사회 속에서 호흡하는 생활 재활 시설 지금껏 우리나라의...",daum,web,2011-01-01,2012-12-31,"장애인 복지 천국을 가다 건물 계단에도 장애인 환자의 편의를 배려한 안전바를 설치하지 않았고, 환자들 또한 집에 있을 때처럼환자복대신 평상복을 입고 생활한다. 지역 사회 속에서 호흡하는 생활 재활 시설 지금껏 우리나라의...","['장애', '복지', '천국', '건물', '계단', '장애', '환자', '편의', '배려', '안전', '설치', '환자', '환자복', '대신', '평상복', '생활', '지역', '사회', '호흡', '생활', '재활', '시설']"
23,마이프린세스-5회-환자복도 여신이 되는 김태희 미모에 빠지다.-이설공주 완....,https://ddella.tistory.com/79,"결국 밖으로 나온 이설 공주는 인근 병원에 환자로 위장을 하게 됩니다. 그리고 해영도 병원으로 이설 공주를 찾아오고 횟집에서 만난 건이를 병실에서 우연히 만나게 됩니다. 황실... 심지어 5회에서는, 환자복을 입은 김태희에 모습마저 여신으로 보일 정도 였습니다. 병실에서의 모습을 보면서, 김태희가 입으면 아무거나 다 이뻐보이는구나 라고 생각했습니다. 김태희가...",naver,web,2011-01-01,2012-12-31,"마이프린세스-5회-환자복도 여신이 되는 김태희 미모에 빠지다.-이설공주 완.... 결국 밖으로 나온 이설 공주는 인근 병원에 환자로 위장을 하게 됩니다. 그리고 해영도 병원으로 이설 공주를 찾아오고 횟집에서 만난 건이를 병실에서 우연히 만나게 됩니다. 황실... 심지어 5회에서는, 환자복을 입은 김태희에 모습마저 여신으로 보일 정도 였습니다. 병실에서의 모습을 보면서, 김태희가 입으면 아무거나 다 이뻐보이는구나 라고 생각했습니다. 김태희가...","['마이', '프린세스', '환자복', '여신', '김태희', '미모', '이설', '공주', '이설', '공주', '인근', '병원', '환자', '위장', '해영', '병원', '이설', '공주', '횟집', '병실', '황실', '환자복', '김태희', '모습', '여신', '병실', '모습', '김태희', '생각', '김태희']"
